DATE,BAT SPECIES (COMMON NAME),COUNT,RECORD TYPE,IDENTIFICATION,OS GRID REF,ADDRESS,POST CODE,HABITAT,STRUCTURE,COUNT TYPE,SEX,AGE,EVENT,EXPERIENCE,COMMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2020,Pipistrelle Bat (55kHz) ,1,Roost (unknown type),Sight Record and Bat Detector,TQ5187356690,"Visitor Centre at Sevenoaks KWT Wildlife Reserve, Sevenoaks",TN13 3LP,Woodland - broadleaved,Bat Box,Count,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2020,Pipistrelle Bat (55kHz) ,3,Flying Bat,Bat Detector Only,TQ5187356690,"Visitor Centre at Sevenoaks KWT Wildlife Reserve, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2020,Pipistrelle Bat (45kHz) ,1,Flying Bat,Bat Detector Only,TQ5187356690,"Visitor Centre at Sevenoaks KWT Wildlife Reserve, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2020,Noctule Bat,1,Flying Bat,Bat Detector Only,TQ5187356690,"Visitor Centre at Sevenoaks KWT Wildlife Reserve, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2020,Nyctalus species,1,Flying Bat,Bat Detector Only,TQ5187356690,"Visitor Centre at Sevenoaks KWT Wildlife Reserve, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2020,Myotis species,1,Flying Bat,Bat Detector Only,TQ5187356690,"Visitor Centre at Sevenoaks KWT Wildlife Reserve, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2020,Pipistrelle Bat (55kHz) ,1,Roost (unknown type),Sight Record and Bat Detector,TQ5187356690,"Sevenoaks Wildlife Reserve, Wardens cottage, Sevenoaks",TN13 3LP,Woodland - broadleaved,Building,Count,Unknown,Unknown,Consultant Survey,Consultant,Single dropping also found within loft void at eaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2020,Pipistrelle Bat (55kHz) ,1,Roost (unknown type),Close Observation,TQ5187356690,"Visitor Centre at Sevenoaks KWT Wildlife Reserve, Sevenoaks",TN13 3LP,Woodland - broadleaved,Bat Box,Count,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2020,Pipistrelle Bat (55kHz) ,1,Flying Bat,Bat Detector Only,TQ5187356690,"Sevenoaks Wildlife Reserve, Wardens cottage, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2020,Leisler’s Bat ,1,Flying Bat,Bat Detector Only,TQ5187356690,"Sevenoaks Wildlife Reserve, Wardens cottage, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
